,page,country,rev_id,Population mid-2018 (millions),prediction
0,Bir I of Kanem,Chad,355319463,15.4,Stub
1,Abdullah II of Kanem,Chad,498683267,15.4,Stub
2,Salmama II of Kanem,Chad,565745353,15.4,Stub
3,Kuri I of Kanem,Chad,565745365,15.4,Stub
4,Mohammed I of Kanem,Chad,565745375,15.4,Stub
5,Kuri II of Kanem,Chad,669719757,15.4,Stub
6,Bir II of Kanem,Chad,670893206,15.4,Stub
7,Mahamat Hissene,Chad,693055898,15.4,Stub
8,Othman I,Chad,705432607,15.4,Stub
9,Alphonse Kotiga,Chad,707593108,15.4,Stub
10,Oueddei Kichidemi,Chad,708346649,15.4,Start
11,Dunama I,Chad,710675092,15.4,Stub
12,Ahmad (Kanem-Bornu king),Chad,711388267,15.4,Stub
13,Djibrine Kerallah,Chad,712971263,15.4,Stub
14,Maurice Ngangtar,Chad,712971315,15.4,Stub
15,Idriss Miskine,Chad,712971738,15.4,Stub
16,Laoukein Kourayo Médard,Chad,716886170,15.4,Stub
17,Nadji Madou,Chad,716886788,15.4,Stub
18,Noël Milarew Odingar,Chad,716891799,15.4,Start
19,Yaya Dillo Djérou,Chad,717733209,15.4,Stub
20,Acheikh Ibn-Oumar,Chad,719821590,15.4,Start
21,Quatre Sou Quatre,Chad,720066754,15.4,Stub
22,Ali Gazi,Chad,722563340,15.4,Stub
23,Mahamat Djarma Khatir,Chad,725132042,15.4,Stub
24,Dunama IX Lefiami,Chad,731749611,15.4,Stub
25,Dawud of Kanem,Chad,736550266,15.4,Stub
26,Ahmed Koulamallah,Chad,738855197,15.4,Start
27,Abbo Nassour,Chad,741369486,15.4,C
28,Abdel Kader Baba-Laddé,Chad,742213176,15.4,Stub
29,Hummay,Chad,747271475,15.4,Stub
30,Ngarlejy Yorongar,Chad,751304544,15.4,C
31,Saleh Kezabo,Chad,751380073,15.4,Stub
32,Bourkou Louise Kabo,Chad,757072468,15.4,Start
33,Brahim Koulamallah,Chad,757802238,15.4,Stub
34,Saadie Goukouni Weddeye,Chad,757842614,15.4,Start
35,Mahamoud Adam Béchir,Chad,762579466,15.4,Start
36,Kalthouma Nguembang,Chad,762816132,15.4,Stub
37,Djidingar Dono Ngardoum,Chad,764133533,15.4,Stub
38,Youssouf Saleh Abbas,Chad,771052289,15.4,B
39,Koibla Djimasta,Chad,774223245,15.4,Start
40,Nassour Guelendouksia Ouaido,Chad,774223248,15.4,C
41,Joseph Brahim Seid,Chad,777478442,15.4,Stub
42,Joseph Yodoyman,Chad,777550078,15.4,Start
43,Antoine Bangui,Chad,782638002,15.4,Start
44,Ibrahim IV of Bornu,Chad,785614014,15.4,Stub
45,Hadjé Halimé,Chad,786449636,15.4,C
46,Youssouf Togoïmi,Chad,787390241,15.4,Start
47,Adoum Younousmi,Chad,787719236,15.4,Start
48,François Tombalbaye,Chad,787738541,15.4,C
49,Ahmat Hassaballah Soubiane,Chad,787910771,15.4,Stub
50,Ahmad Allam-Mi,Chad,787921293,15.4,Start
51,Laotegguelnodji Koumtog,Chad,788009613,15.4,Stub
52,Mahamat Ali Adoum,Chad,788014671,15.4,Start
53,Mahamat Saleh Annadif,Chad,788658822,15.4,Start
54,Mohamed Bechir-Sow,Chad,788827248,15.4,Stub
55,Gontchomé Sahoulba,Chad,788828388,15.4,Start
56,Gabriel Lisette,Chad,788828519,15.4,Start
57,Ali II of Bornu,Chad,788999424,15.4,Stub
58,Arabi El Goni,Chad,789126126,15.4,Stub
59,Dunama Dabbalemi,Chad,789935196,15.4,Start
60,Idris Alooma,Chad,792734868,15.4,Start
61,Mahamat Nouri,Chad,792954115,15.4,FA
62,Idriss Ndele Moussa,Chad,796654025,15.4,Start
63,Mbaydoum Simeon,Chad,796690873,15.4,Stub
64,Ngarindo Milengar,Chad,796700718,15.4,Stub
65,List of Prime Ministers of Chad,Chad,797747674,15.4,Start
66,Idriss Déby,Chad,798286150,15.4,C
67,Saleh Kebzabo,Chad,798626040,15.4,C
68,Moussa Faki,Chad,799043301,15.4,C
69,Kalzeubet Pahimi Deubet,Chad,799413193,15.4,Stub
70,Haroun Kabadi,Chad,799447895,15.4,Start
71,Nagoum Yamassoum,Chad,799447995,15.4,Start
72,Outel Bono,Chad,799448338,15.4,Start
73,Ahmat Acyl,Chad,799902492,15.4,C
74,Djimrangar Dadnadji,Chad,800133552,15.4,Start
75,Delwa Kassiré Koumakoye,Chad,801029539,15.4,C
76,Fidèle Moungar,Chad,801192255,15.4,C
77,Jean Alingué Bawoyeu,Chad,801192303,15.4,B
78,Emmanuel Nadingar,Chad,801573576,15.4,C
79,Roger Djikisna,Chad,801583221,15.4,Stub
80,Firmin Djidingar,Chad,801583260,15.4,Stub
81,Idris I of Kanem,Chad,802874918,15.4,Stub
82,Vice President of Chad,Chad,803166509,15.4,Stub
83,Hissène Habré,Chad,803166806,15.4,GA
84,Negue Djogo,Chad,803166989,15.4,Start
85,Wadel Abdelkader Kamougué,Chad,803167152,15.4,C
86,Félix Malloum,Chad,803167336,15.4,Start
87,Lol Mahamat Choua,Chad,803167424,15.4,C
88,Albert Pahimi Padacké,Chad,803433107,15.4,C
89,List of heads of state of Chad,Chad,803812011,15.4,Start
90,Elise Loum,Chad,804773540,15.4,Start
91,Agnes Allafi,Chad,805493169,15.4,Start
92,Christine Georges Diguibaye,Chad,806337653,15.4,Stub
93,Pascal Yoadimnadji,Chad,806508985,15.4,Start
94,Aissa Koli,Chad,806616268,15.4,Start
95,Omar I of Kanem,Chad,807425129,15.4,Start
96,Yos Por,Cambodia,393822005,16,Stub
97,Than Sina,Cambodia,671073599,16,Stub
98,Ieu Pannakar,Cambodia,712085445,16,Stub
99,Taing Sunlay,Cambodia,713507166,16,Stub
100,Dul Koeun,Cambodia,714524609,16,Stub
101,Ly Kim Leang,Cambodia,714524624,16,Stub
102,Chhor Leang Huot,Cambodia,714524714,16,Stub
103,Thak Lany,Cambodia,714524870,16,Stub
104,Tep Ngorn,Cambodia,714528164,16,Stub
105,Chan Cheng,Cambodia,714528251,16,Stub
106,Nhim Vanda,Cambodia,714528803,16,Stub
107,Pen Panha,Cambodia,714528886,16,Stub
108,Sieng Nam,Cambodia,714529109,16,Stub
109,So Khun,Cambodia,714529370,16,Stub
110,Nou Sam,Cambodia,714529507,16,Stub
111,Rath Sarem,Cambodia,716812326,16,Stub
112,Kong Vibol,Cambodia,726543264,16,Stub
113,Monh Saphan,Cambodia,726543284,16,Stub
114,Uk Rabun,Cambodia,726543336,16,Stub
115,Ay Khorn,Cambodia,726543872,16,Stub
116,Oung Ouen,Cambodia,726688556,16,Stub
117,List of Deputy Prime Ministers of Cambodia,Cambodia,730617957,16,Stub
118,Cambodian People's Party–FUNCINPEC coalition agreement,Cambodia,732331264,16,Stub
119,Chuop Hell,Cambodia,735512767,16,Stub
120,Kong Korm,Cambodia,736093077,16,Stub
121,Huy Kanthoul,Cambodia,736539294,16,Stub
122,Vorn Vet,Cambodia,736715950,16,Stub
123,Yat Hwaidi,Cambodia,737025619,16,Stub
124,Khim Tit,Cambodia,737804996,16,Stub
125,Son Chhay,Cambodia,738180794,16,Start
126,Kep Chuktema,Cambodia,738478052,16,Start
127,Nuth Rumduol,Cambodia,738512371,16,Stub
128,Khieu Thavika,Cambodia,738804016,16,Stub
129,Daran Kravanh,Cambodia,738989624,16,Stub
130,Sisowath Monireth,Cambodia,738992094,16,Start
131,Sisowath Youtevong,Cambodia,738992441,16,Start
132,Ou Chanrith,Cambodia,739217591,16,Stub
133,Yem Ponhearith,Cambodia,741680078,16,Stub
134,Chrea Sochenda,Cambodia,741923960,16,Stub
135,Vong Kan,Cambodia,742006559,16,Stub
136,Yos Son,Cambodia,742067282,16,Stub
137,Hun Many,Cambodia,744291790,16,Stub
138,Chhean Vam,Cambodia,747052284,16,Stub
139,Oum Chheang Sun,Cambodia,747052769,16,Stub
140,Norodom Kantol,Cambodia,747053219,16,Stub
141,Khieu Rada,Cambodia,747555899,16,Start
142,Ieu Koeus,Cambodia,747628491,16,Stub
143,Cheng Heng,Cambodia,747784875,16,Start
144,Mok Mareth,Cambodia,747945224,16,Start
145,Kieng Vang,Cambodia,748137241,16,Stub
146,Sisowath Watchayavong,Cambodia,748488170,16,Stub
147,Sokhom So,Cambodia,749156496,16,Stub
148,Min Sean,Cambodia,749304614,16,Stub
149,Y Chhean,Cambodia,749338398,16,Stub
150,Poa Bun Sreu,Cambodia,749357713,16,Stub
151,Toan Vanthara,Cambodia,749387326,16,Stub
152,Sok Soty,Cambodia,749388858,16,Stub
153,Pal Sam Oeun,Cambodia,749396845,16,Stub
154,Ngor Sovann,Cambodia,749470256,16,Stub
155,Kea Sahorn,Cambodia,749510551,16,Stub
156,Suos Kanan,Cambodia,749517390,16,Stub
157,Im Chhun Lim,Cambodia,749537624,16,Stub
158,Tram Iv Teuk,Cambodia,749537772,16,Stub
159,Hem Khorn,Cambodia,749561164,16,Stub
160,Um Nhanh,Cambodia,749569686,16,Stub
161,Poa Try,Cambodia,749570183,16,Stub
162,Yim Chhaily,Cambodia,749683882,16,Stub
163,Ith Prang,Cambodia,749704384,16,Stub
164,Try Chheang Huot,Cambodia,749710492,16,Stub
165,Suk Sam Eng,Cambodia,749945690,16,Stub
166,Nim Thot,Cambodia,749967879,16,Stub
167,Ngin Khorn,Cambodia,749970189,16,Stub
168,Sorn Inthor,Cambodia,749977252,16,Stub
169,You Hockry,Cambodia,750055098,16,Stub
170,Samrith Pech,Cambodia,750074445,16,Stub
171,Un Neung,Cambodia,750077042,16,Stub
172,Bou Thang,Cambodia,750179637,16,Stub
173,Peter Khoy Saukam,Cambodia,751227068,16,Start
174,Tuot Saron,Cambodia,752967379,16,Start
175,Phoeurng Sackona,Cambodia,752979708,16,Stub
176,Nhek Bun Chhay,Cambodia,753086260,16,Stub
177,Cheam Yeab,Cambodia,753684881,16,Stub
178,Chea Poch,Cambodia,753689952,16,Stub
179,Chin Bun Sean,Cambodia,753692176,16,Stub
180,Chhim Siek Leng,Cambodia,753695057,16,Stub
181,Chea Soth,Cambodia,753711610,16,Stub
182,Ke Pauk,Cambodia,754318281,16,Stub
183,Kong Sam Ol,Cambodia,754944744,16,Stub
184,Pho Proeung,Cambodia,755504987,16,Stub
185,San Yun,Cambodia,756129985,16,Stub
186,Tiv Ol,Cambodia,756722795,16,Start
187,Son Ngoc Thanh,Cambodia,758665997,16,C
188,Monovithya Kem,Cambodia,759510662,16,Stub
189,Mom Chim Huy,Cambodia,761412104,16,Stub
190,Norodom Norindeth,Cambodia,761941416,16,Start
191,Hem Heng,Cambodia,763098565,16,Start
192,Chum Bunrong,Cambodia,763098588,16,Stub
193,Duong Vanna,Cambodia,763316692,16,Stub
194,Chhay Tan,Cambodia,763968613,16,Stub
195,Keat Chhon,Cambodia,765244120,16,Stub
196,Ang Vong Vathana,Cambodia,765375452,16,Stub
197,Keo Remy,Cambodia,766576352,16,Stub
198,Sun Chanthol,Cambodia,766834612,16,Start
199,Khieu Kanharith,Cambodia,766836319,16,Stub
200,Chay Saing Yun,Cambodia,767217618,16,Stub
201,Ek Sam Ol,Cambodia,767218020,16,Stub
202,Ouk Rabun,Cambodia,767867369,16,Stub
203,Hun Phoeung,Cambodia,768488633,16,Stub
204,Nguon Nhel,Cambodia,769381746,16,Stub
205,Khuon Sodary,Cambodia,769381831,16,Stub
206,Sok Pheng,Cambodia,769447485,16,Stub
207,Say Chhum,Cambodia,769929584,16,Stub
208,Im Sothy,Cambodia,771408501,16,Stub
209,Eng Chhai Eang,Cambodia,773103096,16,Stub
210,Heng Pov,Cambodia,773157273,16,Start
211,Him Chhem,Cambodia,773455924,16,Stub
212,Ho Non,Cambodia,773694865,16,Stub
213,Ho Vann,Cambodia,773695304,16,Stub
214,Hul Savorn,Cambodia,774100291,16,Stub
215,Pol Hom,Cambodia,776153762,16,Stub
216,Thong Khon,Cambodia,777665222,16,Stub
217,Hor Namhong,Cambodia,777765537,16,C
218,Keo Saphal (Siem Reap politician),Cambodia,778675539,16,Stub
219,Keo Saphal (Takeo politician),Cambodia,778675542,16,Stub
220,Khek Vandy,Cambodia,778806364,16,Stub
221,Khun Haing,Cambodia,778825745,16,Stub
222,Khy Taing Lim,Cambodia,778830534,16,Stub
223,Kuoch Ky,Cambodia,779440080,16,Stub
224,Kuoy Bunroeun,Cambodia,779441002,16,Stub
225,Chou Bun Eng,Cambodia,779541149,16,Start
226,Ke Sovannaroth,Cambodia,779541334,16,Stub
227,Norodom Rattana Devi,Cambodia,779541359,16,Stub
228,Norodom Vichara,Cambodia,779541415,16,Stub
229,Nin Saphon,Cambodia,779541481,16,Stub
230,Tioulong Saumura,Cambodia,779541578,16,Start
231,Som Kimsuor,Cambodia,779541650,16,Stub
232,Suy Sem,Cambodia,780608915,16,Stub
233,Sourn Serey Ratha,Cambodia,780691538,16,Stub
234,Ly Son,Cambodia,782622853,16,Stub
235,Ly Thuch,Cambodia,782622857,16,Stub
236,List of heads of state of Cambodia,Cambodia,782894395,16,C
237,Son Sann,Cambodia,783107330,16,C
238,Mam Bun Neang,Cambodia,783142781,16,Stub
239,Chan Sarun,Cambodia,783239117,16,Stub
240,Mao Monyvann,Cambodia,783294124,16,Stub
241,Men Sam An,Cambodia,784442393,16,Stub
242,Mey Norn,Cambodia,784629286,16,Stub
243,Sok An,Cambodia,784962640,16,C
244,Yem Sambaur,Cambodia,786198076,16,Start
245,Yim Sovann,Cambodia,786409843,16,C
246,Ek Yi Oun,Cambodia,786826707,16,Stub
247,Lu Laysreng,Cambodia,787016670,16,Stub
248,Math Ly,Cambodia,787260537,16,Stub
249,Chem Widhya,Cambodia,787978108,16,Start
250,Pa Socheatvong,Cambodia,788070748,16,Stub
251,Governor of Phnom Penh,Cambodia,788070776,16,Stub
252,Son Sen,Cambodia,788368060,16,C
253,Pen Sovan,Cambodia,788398926,16,Start
254,Sak Sutsakhan,Cambodia,788540352,16,C
255,Amath Yashya,Cambodia,788758065,16,Stub
256,Tong Siv Eng,Cambodia,788799479,16,Stub
257,Norodom Chakrapong,Cambodia,788905950,16,GA
258,Prak Sokhon,Cambodia,790023943,16,Start
259,Khieu Samphan,Cambodia,792012094,16,C
260,Sisowath Sirik Matak,Cambodia,792274582,16,C
261,Sam Sary,Cambodia,792556486,16,Start
262,Tou Samouth,Cambodia,792731504,16,Start
263,Yun Yat,Cambodia,793218721,16,Stub
264,Khieu Ponnary,Cambodia,793723115,16,Start
265,Cham Prasidh,Cambodia,793746447,16,Start
266,Ung Huot,Cambodia,794239262,16,Start
267,Veng Sereyvuth,Cambodia,794714434,16,Stub
268,Ieng Mouly,Cambodia,795214039,16,Stub
269,Pou Sothirak,Cambodia,796696955,16,Stub
270,Chea Sim,Cambodia,797224256,16,C
271,Hu Nim,Cambodia,797444265,16,C
272,Sim Var,Cambodia,797618265,16,Start
273,Bin Chhin,Cambodia,797673057,16,Stub
274,Sim Ka,Cambodia,798039997,16,Stub
275,Hou Yuon,Cambodia,798241496,16,C
276,Phiset Phanit,Cambodia,799124051,16,Stub
277,Norodom Sihanouk,Cambodia,799302232,16,FA
278,Pao Ham Phan,Cambodia,799453681,16,Stub
279,Heng Samrin,Cambodia,799719505,16,Start
280,Kang Kek Iew,Cambodia,799772448,16,C
281,Leng Ngeth,Cambodia,800087187,16,Stub
282,Spouse of the Prime Minister of Cambodia,Cambodia,800348414,16,Stub
283,Nhiek Tioulong,Cambodia,801079233,16,Start
284,Keo Puth Rasmey,Cambodia,801523347,16,Stub
285,Khem Veasna,Cambodia,802456666,16,C
286,Tea Banh,Cambodia,802643748,16,Start
287,Ieng Sary,Cambodia,802839704,16,C
288,Son Ngoc Minh,Cambodia,803084525,16,Start
289,List of monarchs of Cambodia,Cambodia,803230439,16,C
290,Ran Serey Leakhena,Cambodia,803481048,16,Stub
291,Lon Non,Cambodia,803936929,16,C
292,Lon Nil,Cambodia,803936986,16,Start
293,Mu Sochua,Cambodia,804631223,16,C
294,Penn Nouth,Cambodia,804717865,16,Start
295,Hang Chuon Naron,Cambodia,804785628,16,Start
296,Hong Sun Huot,Cambodia,805459200,16,Stub
297,Sam Rainsy,Cambodia,805740662,16,C
298,Nuon Chea,Cambodia,805876135,16,GA
299,Kao Kim Hourn,Cambodia,805905770,16,B
300,Ieng Thirith,Cambodia,806833311,16,C
301,Chau Sen Cocsal Chhum,Cambodia,806931313,16,C
302,Sar Kheng,Cambodia,806997998,16,C
303,Aun Pornmoniroth,Cambodia,807003284,16,Start
304,Lon Nol,Cambodia,807025761,16,GA
305,Robert Douglas Cook,Canada,401577829,37.2,Stub
306,List of Canadian incumbents by year,Canada,477962574,37.2,Stub
307,List of 2009 Canadian incumbents,Canada,632008524,37.2,Start
308,Rossy Barbour,Canada,653527941,37.2,Stub
309,Les Scheininger,Canada,667821864,37.2,C
310,Patrick Canning,Canada,667873261,37.2,Start
311,Gerald Hill (politician),Canada,670917017,37.2,Stub
312,John R. O'Dea,Canada,670971940,37.2,Stub
313,Samuel J. Hefferton,Canada,671122320,37.2,Start
314,Alexander Dunphy,Canada,676610041,37.2,Stub
315,Gordon Dawe,Canada,676612108,37.2,Stub
316,Paul Thoms,Canada,676732644,37.2,Stub
317,Frederick B. Rowe,Canada,676734572,37.2,Stub
318,Allan Evans (politician),Canada,676782180,37.2,Stub
319,Luke Woodrow,Canada,676947124,37.2,Stub
320,William G. Patterson,Canada,677094551,37.2,Stub
321,Freeman White (politician),Canada,677724847,37.2,Stub
322,William J. MacNeil,Canada,677769770,37.2,Stub
323,John Collins (Canadian politician),Canada,679623758,37.2,Stub
324,Barry Hynes,Canada,680618797,37.2,Stub
325,Brendan Howard,Canada,684050793,37.2,Stub
326,Wilson Callan,Canada,684903534,37.2,Stub
327,Rod Moores,Canada,684903869,37.2,Stub
328,List of 2010 Canadian incumbents,Canada,688697227,37.2,Start
329,Harold Collins (Canadian politician),Canada,690205437,37.2,Stub
330,Speaker of the Legislative Assembly of the Province of Canada,Canada,691747234,37.2,Stub
331,"Rhinoceros Party of Canada candidates, 1980 Canadian federal election",Canada,698077739,37.2,Stub
332,David John Rankin,Canada,703226576,37.2,Stub
333,Robert Melville Smith,Canada,704136762,37.2,Stub
334,Myra Freeman,Canada,704516768,37.2,Start
335,Evelyn Shannon,Canada,705247791,37.2,Stub
336,George Little (Manitoba politician),Canada,705386024,37.2,Stub
337,Michael Rojeski,Canada,705436088,37.2,Stub
338,Gudmundur Fjelsted,Canada,705539849,37.2,Stub
339,Samuel Fletcher,Canada,705547266,37.2,Stub
340,John Crane (Canadian politician),Canada,706430270,37.2,Stub
341,Milton Peach,Canada,706597779,37.2,Stub
342,Claude Sheppard,Canada,706758502,37.2,Stub
343,Don Hollett,Canada,706934829,37.2,Stub
344,David Secord,Canada,707172907,37.2,Stub
345,Wally Firth,Canada,707297623,37.2,Stub
346,William R. Smallwood,Canada,707632311,37.2,Stub
347,C. Maxwell Lane,Canada,707684781,37.2,Stub
348,Charles Poulin,Canada,708179175,37.2,Stub
349,Pierre-Luc Paquette,Canada,708813010,37.2,Stub
350,Francis Badgley (merchant),Canada,708885126,37.2,Stub
351,Michel Sikyea,Canada,708967094,37.2,Start
352,List of 2003 Canadian incumbents,Canada,709329316,37.2,Start
353,List of 2004 Canadian incumbents,Canada,709329425,37.2,Start
354,List of 2002 Canadian incumbents,Canada,709407679,37.2,Start
355,List of 2001 Canadian incumbents,Canada,709407789,37.2,Start
356,List of 2000 Canadian incumbents,Canada,709408821,37.2,Start
357,List of 1999 Canadian incumbents,Canada,709408830,37.2,Start
358,List of 1998 Canadian incumbents,Canada,709408965,37.2,Start
359,Sonnee Cohen,Canada,709455764,37.2,Start
360,List of 1997 Canadian incumbents,Canada,709491780,37.2,Start
361,List of 1995 Canadian incumbents,Canada,709492007,37.2,Start
362,List of 1994 Canadian incumbents,Canada,709492025,37.2,Start
363,List of 1992 Canadian incumbents,Canada,709492105,37.2,Start
364,List of 1991 Canadian incumbents,Canada,709492467,37.2,Start
365,List of 1990 Canadian incumbents,Canada,709492558,37.2,Start
366,List of 2005 Canadian incumbents,Canada,709519440,37.2,Start
367,Cyril Keeper,Canada,710575028,37.2,C
368,Adam Aptowitzer,Canada,710619647,37.2,Stub
369,Yvon Picotte,Canada,710753764,37.2,Start
370,James Atebe,Canada,711104781,37.2,Stub
371,List of 2007 Canadian incumbents,Canada,711603471,37.2,Start
372,Thomas Barnaby,Canada,712417981,37.2,Stub
373,Mark Evaloarjuk,Canada,712579431,37.2,Start
374,Jacques Bizard,Canada,712601441,37.2,Stub
375,Lawrence Martin (musician),Canada,712973728,37.2,C
376,Denis Viger,Canada,713249389,37.2,Stub
377,Aidan Maloney,Canada,713981300,37.2,Stub
378,Grafton Njootli,Canada,714172218,37.2,Stub
379,William Albert Boucher,Canada,714722019,37.2,Start
380,Marvin Gelber,Canada,715055224,37.2,Stub
381,Robert Robertson (politician),Canada,715359989,37.2,Stub
382,James H. Stuart,Canada,715457941,37.2,Stub
383,Maxime Lépine,Canada,716489196,37.2,Stub
384,Ambroise-Dydime Lépine,Canada,716690197,37.2,Stub
385,W. Garfield Case,Canada,716908156,37.2,C
386,Guy Williams (politician),Canada,716924009,37.2,Stub
387,May Birchard,Canada,716960979,37.2,Start
388,William Todd (1803–1873),Canada,717061600,37.2,Stub
389,Albert Planta,Canada,717154850,37.2,Stub
390,Jacques Viger (Member of the Assembly),Canada,717397656,37.2,Stub
391,Alexander Kennedy Isbister,Canada,717547859,37.2,Stub
392,Stuart Lyon Smith,Canada,717897492,37.2,Start
393,Michel Bénard,Canada,718265809,37.2,Stub
394,Maurice Laframboise,Canada,718852428,37.2,Start
395,James Isbister,Canada,719597828,37.2,Start
396,Jean-Charles Chapais,Canada,719598088,37.2,Start
397,List of 1993 Canadian incumbents,Canada,720131548,37.2,Start
398,List of 1989 Canadian incumbents,Canada,720131554,37.2,Start
399,List of 1988 Canadian incumbents,Canada,720131559,37.2,Start
400,List of 2008 Canadian incumbents,Canada,720133136,37.2,Start
401,John Judah Glass,Canada,720256444,37.2,Start
402,List of 1867 Canadian incumbents,Canada,721006116,37.2,Stub
403,Lazarus Phillips,Canada,721093245,37.2,Start
404,Samuel Hume Blake,Canada,721792566,37.2,Stub
405,Gilles Houde,Canada,722043055,37.2,Stub
406,Brenda Paris,Canada,723148572,37.2,C
407,Henry Judah,Canada,723249393,37.2,Stub
408,Rupert Bartlett,Canada,723252411,37.2,Stub
409,Peter Bercovitch,Canada,723253555,37.2,Start
410,Maurice Hartt,Canada,723253656,37.2,Start
411,Jerome Dinn,Canada,723271862,37.2,Stub
412,René Matteau,Canada,723308478,37.2,Stub
413,Tom Hickey (politician),Canada,723348093,37.2,Start
414,Myles Murray,Canada,723377038,37.2,Stub
415,Frederick Langdon Hubbard,Canada,723694660,37.2,Stub
416,Harry Blank,Canada,724678615,37.2,Start
417,Hubert Kitchen,Canada,725395350,37.2,Stub
418,Uriah Strickland,Canada,725401345,37.2,Stub
419,Aubrey Gover,Canada,725401404,37.2,Stub
420,Alec Moores,Canada,725403647,37.2,Stub
421,Eugene Hiscock,Canada,725404809,37.2,Stub
422,H.R.V. Earle,Canada,725409378,37.2,Stub
423,Glenn Tobin,Canada,725417107,37.2,Stub
424,W. George Cross,Canada,726662002,37.2,Stub
425,François Beaulieu II,Canada,728457018,37.2,C
426,Alexander Macdonell of Greenfield,Canada,729104207,37.2,Stub
427,Steve Owens (politician),Canada,729767652,37.2,Start
428,Howard McCurdy,Canada,730002481,37.2,Start
429,Jeremy Akerman,Canada,730706462,37.2,C
430,Office-holders of Canada,Canada,730830430,37.2,Start
431,Louis Singer,Canada,733451024,37.2,Start
432,Edward Whelan (Canadian politician),Canada,734484063,37.2,Start
433,Wilfred McDonald,Canada,734799659,37.2,Start
434,Kevin Parsons Sr.,Canada,735721150,37.2,Stub
435,Hugh Twomey,Canada,735809835,37.2,Start
436,Alexander Grant Dallas,Canada,736826045,37.2,Stub
437,John L. Brown (Ontario politician),Canada,737118230,37.2,Stub
438,Jean Baptiste Wilkie,Canada,738242188,37.2,Start
439,Stanley Hall (politician),Canada,738943928,37.2,Stub
440,Samuel Genest,Canada,739134923,37.2,Start
441,David Berger (Canadian politician),Canada,740276158,37.2,Start
442,David Rotenberg,Canada,740276869,37.2,C
443,Aubrey Senior,Canada,740441527,37.2,Stub
444,Neil Fraser (civil servant),Canada,740482412,37.2,Stub
445,Thomas McKay (Northwest Territories politician),Canada,740863576,37.2,Start
446,Peter Fraser (Northwest Territories politician),Canada,740863717,37.2,Stub
447,Ron Ghitter,Canada,741266718,37.2,Start
448,Esau Schafer,Canada,742618365,37.2,Stub
449,Michael S. Martin,Canada,742989409,37.2,Stub
450,Wayne Jim,Canada,743342114,37.2,Stub
451,William Angus Dickson,Canada,743352732,37.2,Stub
452,James Laxer,Canada,743802406,37.2,Start
453,Robert Duncan Wilmot,Canada,743934426,37.2,Start
454,William Steeves,Canada,744260793,37.2,Start
455,List of Canadian ministries,Canada,744493549,37.2,Start
456,John Hamilton Gray (New Brunswick politician),Canada,744724453,37.2,Start
457,Lawrence Armstrong,Canada,744726413,37.2,Start
458,Peter Mitchell (politician),Canada,744887895,37.2,Start
459,George Benjamin (Orangeman),Canada,745111909,37.2,Start
460,Jean Alfred,Canada,745448033,37.2,Start
461,Moe Mantha Sr.,Canada,745453138,37.2,Start
462,Samuel Factor (Canadian politician),Canada,745678622,37.2,Start
463,Leon Crestohl,Canada,746467178,37.2,Start
464,Frederick E. Harrison,Canada,746471129,37.2,Start
465,Solomon Hart Green,Canada,746727879,37.2,Start
466,George T. Marsh,Canada,746891841,37.2,Stub
467,J. A. McCaul,Canada,746916216,37.2,Stub
468,John O'Neill (Canadian politician),Canada,747526324,37.2,Start
469,George Coles (politician),Canada,748140172,37.2,Start
470,John William Ritchie,Canada,749483611,37.2,Stub
471,Mickey Hennessy,Canada,749552058,37.2,Start
472,Jeff Rose,Canada,750062937,37.2,Start
473,Jacob Æmilius Irving,Canada,750436001,37.2,Start
474,John N. Anderson,Canada,751176274,37.2,Stub
475,Arthur S. Mifflin,Canada,751807970,37.2,Stub
476,Wallace House (politician),Canada,751987164,37.2,Start
477,Ernie Tate,Canada,752068111,37.2,Start
478,Yvon Dumont,Canada,753367995,37.2,C
479,James Cockburn (politician),Canada,753379799,37.2,Start
480,Firmin Monestime,Canada,755386512,37.2,Start
481,Elmer Knutson,Canada,756279684,37.2,Start
482,Ray Kingsmith,Canada,756291644,37.2,Start
483,David Smith (Quebec politician),Canada,756551426,37.2,Stub
484,Frantz Benjamin,Canada,756552638,37.2,Stub
485,Irving Gerstein,Canada,756554677,37.2,Start
486,Jonathan Valois,Canada,756555976,37.2,Stub
487,Leo Kolber,Canada,756556561,37.2,Start
488,Ovid Jackson,Canada,756558693,37.2,Stub
489,Richard Marceau,Canada,756570254,37.2,Start
490,Russell Copeman,Canada,756570822,37.2,Start
491,Yoine Goldstein,Canada,756572403,37.2,Start
492,Keith Goulet,Canada,756574108,37.2,Stub
493,Ovide Alakannuark,Canada,756585976,37.2,Stub
494,Ron Elliott (politician),Canada,756585982,37.2,Stub
495,David Iqaqrialu,Canada,756585983,37.2,Stub
496,Patterk Netser,Canada,756585988,37.2,Stub
497,Donald Havioyak,Canada,756585989,37.2,Stub
498,Kevin O'Brien (Nunavut politician),Canada,756585996,37.2,Start
499,Samuel Nuqingaq,Canada,756585998,37.2,Start
500,Daniel Shewchuk,Canada,756585999,37.2,Stub
501,Hezakiah Oshutapik,Canada,756586002,37.2,Stub
502,David Chudnovsky (politician),Canada,756587157,37.2,Start
503,Doug Oldford,Canada,756587370,37.2,Stub
504,Kevin Menicoche,Canada,756588884,37.2,Stub
505,Lindsay Blackett,Canada,756588999,37.2,Start
